面积,价格,格局,楼层,朝向,装修,年建,板楼塔楼,所在区域,电梯有无,房屋年限,交易权限,房型
184.25平米,1380万,3室1厅,低楼层/共10层,西南,平层/精装,1999年建,板塔结合,海淀  紫竹桥 三至四环 近6号线慈寿寺站,有,满五年,商品房,3室1厅1厨1卫
89.83平米,389万,2室1厅,中楼层/共22层,南 北,平层/简装,2013年建,板楼,朝阳  垡头 四至五环 近7号线双合站,有,满五年,限价商品房,2室1厅1厨1卫
71.6平米,490万,2室1厅,中楼层/共6层,北 南,平层/简装,1998年建,板楼,丰台  草桥 三至四环 近10号线草桥站,无,满两年,已购公房,2室1厅1厨1卫
153平米,596万,3室2厅,低楼层/共16层,南 北,平层/简装,2008年建,板楼,昌平  天通苑 五至六环,有,满五年,商品房,3室2厅1厨2卫
78.28平米,575万,2室1厅,低楼层/共18层,东 西,平层/简装,1999年建,板塔结合,海淀  定慧寺 二至三环 近10号线西钓鱼台站,有,满五年,已购公房,2室1厅1厨1卫
142.02平米,535万,3室1厅,中楼层/共6层,南 北,平层/简装,2002年建,板楼,昌平  回龙观 五至六环 近13号线回龙观站,无,满五年,一类经济适用房,3室1厅1厨2卫
71.64平米,209万,2室1厅,低楼层/共6层,南 北,平层/简装,1997年建,板楼,房山  良乡 五至六环,无,满两年,商品房,2室1厅1厨1卫
62.82平米,275万,1室1厅,低楼层/共10层,南,平层/精装,2008年建,板塔结合,大兴  枣园 五至六环,有,满五年,商品房,1室1厅1厨1卫
50.14平米,650万,2室1厅,顶层/共5层,南 北,平层/精装,1970年建,板楼,西城  陶然亭 二环内 近4号线大兴线陶然亭站,无,满两年,商品房,2室1厅1厨1卫
90平米,372万,3室1厅,中楼层/共21层,南 北,平层/精装,2014年建,板塔结合,大兴  天宫院 六环外 近4号线大兴线生物医药基地站,有,满两年,商品房,3室1厅1厨1卫
90.52平米,460万,2室1厅,高楼层/共6层,南 北,平层/精装,2005年建,板楼,丰台  青塔 四至五环 近14号线西段郭庄子站,无,满五年,商品房,2室1厅1厨2卫
82.95平米,373万,3室1厅,中楼层/共6层,南 北,平层/简装,1995年建,板楼,昌平  立水桥 五至六环,无,满五年,已购公房,3室1厅1厨1卫
73.86平米,409万,2室1厅,顶层/共6层,南 北,平层/精装,2002年建,板楼,朝阳  定福庄 五至六环 近6号线褡裢坡站,无,满五年,商品房,2室1厅1厨1卫
59.42平米,368万,2室1厅,低楼层/共6层,东南,平层/简装,1993年建,板楼,丰台  马家堡 三至四环 近4号线大兴线角门西站,无,满五年,已购公房,2室1厅1厨1卫
122.24平米,420万,3室2厅,中楼层/共14层,东南,平层/精装,2015年建,板塔结合,大兴  枣园 五至六环,有,满两年,二类经济适用房,3室2厅1厨2卫
103.2平米,818万,3室1厅,中楼层/共19层,西南,平层/简装,1997年建,塔楼,海淀  军博 二至三环 近9号线北京西站站,有,满五年,已购公房,3室1厅1厨1卫
90.86平米,655万,3室1厅,低楼层/共6层,南 北,平层/精装,1999年建,板楼,海淀  玉泉路 四至五环,无,满五年,商品房,3室1厅1厨1卫
90.47平米,330万,2室1厅,高楼层/共18层,南 北,平层/精装,2013年建,塔楼,房山  长阳 五至六环 近房山线长阳站,有,满两年,商品房,2室1厅1厨2卫
147.33平米,1000万,3室2厅,高楼层/共15层,南 北,平层/精装,2004年建,板楼,朝阳  奥林匹克公园 四至五环,有,满五年,商品房,3室2厅1厨2卫
91.44平米,645万,2室1厅,高楼层/共15层,南 北,平层/简装,2004年建,板楼,丰台  马家堡 三至四环 近4号线大兴线公益西桥站,有,满五年,商品房,2室1厅1厨1卫
104.09平米,575万,3室1厅,中楼层/共26层,东 南 北,平层/简装,2000年建,板塔结合,朝阳  石佛营 四至五环 近6号线十里堡站,有,满五年,商品房,3室1厅1厨1卫
54.86平米,523万,1室1厅,高楼层/共26层,北,平层/精装,2004年建,塔楼,西城  广安门 二至三环 近7号线达官营站,有,满两年,商品房,1室1厅1厨1卫
92.64平米,320万,3室1厅,中楼层/共8层,南 北,平层/简装,2013年建,板楼,房山  长阳 五至六环,有,满五年,商品房,3室1厅1厨1卫
129平米,402万,3室2厅,中楼层/共9层,南 北,平层/简装,2015年建,板楼,大兴  大兴其它 六环外,有,满两年,商品房,3室2厅1厨2卫
105.8平米,1120万,4室1厅,中楼层/共6层,东 南 北,平层/精装,1986年建,板楼,海淀  公主坟 三至四环 近1号线万寿路站,无,满五年,商品房,4室1厅1厨1卫
106.84平米,455万,3室1厅,高楼层/共6层,南 北,平层/精装,2004年建,板楼,朝阳  双桥 五至六环 近八通线双桥站,无,满五年,一类经济适用房,3室1厅1厨1卫
61.3平米,500万,2室1厅,高楼层/共6层,南,平层/简装,1984年建,板楼,海淀  五道口 四至五环 近13号线五道口站,无,满五年,已购公房,2室1厅1厨1卫
57.8平米,630万,2室1厅,中楼层/共6层,南 北,平层/简装,1992年建,板楼,西城  阜成门 二至三环 近6号线车公庄西站,无,满五年,商品房,2室1厅1厨1卫
131.06平米,1175万,3室2厅,中楼层/共27层,南,平层/精装,2003年建,板塔结合,海淀  学院路 四至五环 近15号线六道口站,有,满五年,商品房,3室2厅1厨2卫
135.01平米,990万,3室2厅,中楼层/共11层,南 北,平层/精装,2004年建,板楼,朝阳  奥林匹克公园 五至六环 近5号线北苑路北站,有,满五年,商品房,3室2厅1厨2卫
82.79平米,639万,3室1厅,中楼层/共22层,东 南 西,平层/简装,1985年建,塔楼,朝阳  和平里 二至三环 近2号线东直门站,有,满五年,已购公房,3室1厅1厨1卫
146.44平米,536万,3室1厅,中楼层/共6层,南 北,平层/精装,2005年建,板楼,昌平  回龙观 五至六环 近8号线霍营站,无,满五年,一类经济适用房,3室1厅1厨2卫
120.97平米,820万,3室1厅,高楼层/共14层,南 北,平层/精装,2006年建,板楼,朝阳  朝青 四至五环 近6号线青年路站,有,满五年,商品房,3室1厅1厨2卫
76.2平米,865万,3室1厅,低楼层/共6层,南 西 北,平层/简装,1990年建,板楼,西城  西直门 二环内 近4号线大兴线新街口站,无,满五年,央产房,3室1厅1厨1卫
54.2平米,334万,2室1厅,低楼层/共6层,南 北,平层/精装,1982年建,板楼,丰台  蒲黄榆 二至三环 近14号线东段景泰站,无,满五年,已购公房,2室1厅1厨1卫
118.88平米,635万,3室2厅,中楼层/共9层,南 北,平层/精装,2012年建,板楼,大兴  高米店南 五至六环,有,满五年,商品房,3室2厅1厨2卫
102.97平米,478万,3室1厅,高楼层/共18层,南 北,平层/精装,2005年建,板塔结合,通州  果园 五至六环 近八通线果园站,有,满两年,商品房,3室1厅1厨1卫
90.84平米,310万,3室1厅,顶层/共4层,南 北,平层/精装,未知年建,暂无数据,丰台  丰台其它 五至六环,暂无数据,满五年,限价商品房,3室1厅1厨1卫
122.08平米,1100万,2室2厅,高楼层/共20层,南,平层/简装,2002年建,塔楼,海淀  万柳 三至四环 近10号线长春桥站,有,满两年,商品房,2室2厅1厨1卫
89.08平米,610万,3室1厅,中楼层/共6层,南 北,平层/精装,1996年建,板楼,朝阳  望京 四至五环,无,满五年,已购公房,3室1厅1厨1卫
66.9平米,785万,3室1厅,中楼层/共5层,南 北,平层/简装,1985年建,板楼,海淀  皂君庙 二至三环,无,满两年,商品房,3室1厅1厨1卫
70.36平米,316万,2室1厅,中楼层/共29层,东,平层/精装,2010年建,塔楼,朝阳  常营 五至六环 近6号线草房站,有,满五年,一类经济适用房,2室1厅1厨1卫
65.49平米,334万,2室1厅,底层/共6层,南 北,平层/简装,1997年建,板楼,昌平  回龙观 五至六环,无,满五年,商品房,2室1厅1厨1卫
150.04平米,720万,2室1厅,中楼层/共28层,东南,平层/简装,2005年建,塔楼,朝阳  CBD 二至三环,有,满五年,商品房,2室1厅1厨2卫
80.5平米,355万,3室1厅,顶层/共7层,南 西 北,平层/简装,1995年建,板楼,石景山  苹果园 五至六环 近6号线杨庄站,无,满五年,商品房,3室1厅1厨1卫
92.09平米,639万,2室1厅,低楼层/共12层,南 北,平层/精装,2006年建,板塔结合,朝阳  朝青 四至五环 近6号线青年路站,有,满五年,商品房,2室1厅1厨1卫
90.67平米,600万,2室1厅,中楼层/共9层,南 北,平层/精装,2008年建,板楼,海淀  西三旗 五至六环,有,满五年,商品房,2室1厅1厨2卫
124.02平米,458万,3室1厅,中楼层/共6层,南 北,平层/简装,2007年建,板楼,昌平  霍营 五至六环,无,满五年,一类经济适用房,3室1厅1厨2卫
92.58平米,375万,3室1厅,高楼层/共10层,南 北,平层/精装,2015年建,板楼,房山  长阳 五至六环 近房山线篱笆房站,有,满两年,商品房,3室1厅1厨1卫
114.04平米,438万,3室2厅,低楼层/共18层,南 北,平层/简装,2005年建,板塔结合,顺义  顺义城 六环外,有,满五年,商品房,3室2厅1厨1卫
77.7平米,873万,3室1厅,高楼层/共22层,东 西,平层/简装,1987年建,塔楼,西城  官园 二环内 近2号线西直门站,有,满五年,央产房,3室1厅1厨1卫
87.7平米,698万,3室1厅,低楼层/共7层,南 北,平层/精装,1996年建,板楼,朝阳  安贞 二至三环 近5号线和平西桥站,无,满两年,商品房,3室1厅1厨2卫
88.51平米,565万,3室1厅,中楼层/共18层,东南,平层/简装,1991年建,塔楼,朝阳  双井 三至四环 近7号线双井站,有,满五年,商品房,3室1厅1厨1卫
80.95平米,229万,2室1厅,中楼层/共5层,南 北,平层/简装,1999年建,暂无数据,房山  良乡 五至六环,无,满五年,商品房,2室1厅1厨1卫
89.22平米,469万,3室1厅,底层/共6层,南 北,平层/简装,1999年建,板楼,昌平  回龙观 五至六环 近13号线龙泽站,无,满两年,商品房,3室1厅1厨1卫
110.8平米,470万,3室1厅,中楼层/共6层,南 北,平层/简装,2010年建,板楼,通州  九棵树(家乐福) 五至六环,无,满五年,商品房,3室1厅1厨2卫
142.17平米,619万,3室1厅,低楼层/共10层,南 北,平层/简装,2008年建,板塔结合,大兴  枣园 五至六环,有,满五年,商品房,3室1厅1厨2卫
176.01平米,505万,3室1厅,高楼层/共6层,南 北,复式/简装,2005年建,板楼,昌平  回龙观 五至六环 近8号线霍营站,无,满五年,一类经济适用房,3室1厅1厨2卫
125.16平米,665万,3室1厅,中楼层/共8层,南 北,平层/简装,2012年建,板楼,昌平  回龙观 五至六环,有,满五年,商品房,3室1厅1厨2卫
47平米,655万,2室1厅,底层/共6层,东 西 北,平层/毛坯,1974年建,板楼,西城  月坛 二至三环,无,满五年,已购公房,2室1厅1厨1卫
56.86平米,698万,2室1厅,高楼层/共6层,南 北,平层/简装,1988年建,板楼,西城  陶然亭 二环内 近7号线虎坊桥站,无,满五年,商品房,2室1厅1厨1卫
110.64平米,429万,3室1厅,高楼层/共6层,南 北,平层/简装,2000年建,板楼,昌平  回龙观 五至六环 近8号线育知路站,无,满两年,商品房,3室1厅1厨2卫
144.5平米,750万,3室2厅,顶层/共12层,东南 西北,平层/精装,2008年建,板楼,海淀  田村 四至五环,有,满五年,商品房,3室2厅1厨2卫
60.3平米,650万,2室1厅,中楼层/共6层,南 北,平层/简装,1992年建,板楼,西城  阜成门 二至三环 近6号线车公庄西站,无,满两年,商品房,2室1厅1厨1卫
88.21平米,750万,3室1厅,中楼层/共18层,南 西,平层/简装,1990年建,塔楼,朝阳  安贞 二至三环 近5号线和平西桥站,有,满五年,已购公房,3室1厅1厨1卫
69.51平米,280万,2室1厅,低楼层/共26层,东,平层/精装,2010年建,塔楼,朝阳  常营 五至六环 近6号线草房站,有,满五年,一类经济适用房,2室1厅1厨1卫
124.1平米,540万,3室1厅,低楼层/共22层,东南 北,平层/精装,2003年建,塔楼,丰台  青塔 四至五环,有,满五年,商品房,3室1厅1厨1卫
53.2平米,530万,2室1厅,底层/共6层,南 北,平层/简装,1977年建,板楼,海淀  甘家口 二至三环 近4号线大兴线动物园站,无,满五年,已购公房,2室1厅1厨1卫
75.4平米,620万,3室1厅,低楼层/共6层,南 北,平层/简装,1989年建,板楼,海淀  五道口 四至五环 近13号线五道口站,无,满两年,已购公房,3室1厅1厨1卫
140.34平米,399万,4室2厅,低楼层/共12层,东南 北,平层/精装,2010年建,板塔结合,房山  长阳 五至六环,有,满五年,商品房,4室2厅1厨2卫
84.76平米,380万,3室1厅,顶层/共12层,东南 南,平层/毛坯,1994年建,板塔结合,朝阳  甜水园 三至四环 近14号线东段朝阳公园站,有,满五年,商品房,3室1厅1厨1卫
96.79平米,390万,4室2厅,高楼层/共25层,南 北,平层/精装,2014年建,板楼,大兴  天宫院 六环外 近4号线大兴线天宫院站,有,满两年,商品房,4室2厅1厨2卫
107.47平米,505万,3室1厅,底层/共6层,南 北,平层/简装,2002年建,板楼,昌平  西三旗 五至六环,无,满五年,商品房,3室1厅1厨1卫
54.83平米,308万,2室1厅,中楼层/共5层,南 北,平层/精装,1980年建,板楼,丰台  北大地 三至四环,无,满五年,商品房,2室1厅1厨1卫
143.63平米,595万,3室2厅,高楼层/共8层,南 北,错层/精装,2004年建,板楼,通州  潞苑 五至六环,有,满五年,商品房,3室2厅1厨2卫
95.59平米,345万,3室2厅,中楼层/共9层,西 南,平层/简装,2002年建,板塔结合,大兴  枣园 五至六环 近4号线大兴线清源路站,有,满五年,商品房,3室2厅1厨1卫
74.87平米,499万,3室1厅,高楼层/共24层,东 西 北,平层/精装,1992年建,塔楼,丰台  太平桥 二至三环 近9号线六里桥东站,有,满五年,商品房,3室1厅1厨1卫
97.01平米,543万,3室1厅,高楼层/共9层,南 北,平层/精装,2012年建,板楼,大兴  高米店南 五至六环,有,满五年,商品房,3室1厅1厨2卫
88.09平米,560万,3室1厅,中楼层/共6层,南 北,平层/简装,1999年建,板楼,丰台  草桥 三至四环 近10号线草桥站,无,满五年,已购公房,3室1厅1厨1卫
78.89平米,329万,2室1厅,中楼层/共12层,南,平层/精装,2013年建,暂无数据,房山  长阳 五至六环,有,满两年,商品房,2室1厅1厨1卫
135.27平米,689万,4室2厅,低楼层/共7层,南 北,平层/简装,2012年建,板楼,大兴  高米店南 五至六环,有,满五年,商品房,4室2厅1厨2卫
58.1平米,570万,2室1厅,底层/共6层,南 北,平层/简装,1985年建,板楼,西城  官园 二至三环 近2号线西直门站,无,满五年,已购公房,2室1厅1厨1卫
75.29平米,359万,2室1厅,高楼层/共6层,南 北,错层/精装,2011年建,板楼,通州  九棵树(家乐福) 五至六环,无,满五年,商品房,2室1厅1厨1卫
72.3平米,550万,3室1厅,底层/共6层,南 北,平层/简装,1990年建,板楼,海淀  定慧寺 三至四环 近10号线西钓鱼台站,无,满五年,商品房,3室1厅1厨1卫
78.9平米,540万,2室1厅,顶层/共11层,西南,平层/简装,1999年建,板塔结合,海淀  玉泉路 四至五环 近6号线田村站,有,满五年,已购公房,2室1厅1厨1卫
101.29平米,358万,2室2厅,高楼层/共6层,东 西,平层/简装,2000年建,板楼,昌平  天通苑 五至六环,无,满五年,一类经济适用房,2室2厅1厨2卫
69.06平米,207万,2室1厅,低楼层/共16层,南 北,平层/精装,2015年建,板楼,通州  通州其它 六环外,有,满两年,商品房,2室1厅1厨1卫
50.98平米,605万,1室1厅,高楼层/共10层,东南,复式/精装,2005年建,塔楼,西城  广安门 二至三环 近7号线达官营站,有,满五年,商品房,1室1厅1厨2卫
88.41平米,450万,2室1厅,低楼层/共27层,南,平层/精装,2010年建,板塔结合,朝阳  常营 五至六环 近6号线常营站,有,满五年,限价商品房,2室1厅1厨1卫
40.83平米,245万,1室1厅,低楼层/共6层,南,平层/精装,1984年建,板楼,朝阳  潘家园 二至三环 近10号线潘家园站,无,满五年,商品房,1室1厅1厨1卫
143.21平米,545万,3室2厅,低楼层/共16层,南 北,平层/简装,2005年建,板塔结合,朝阳  十八里店 四至五环,有,满五年,商品房,3室2厅1厨2卫
70.96平米,335万,2室1厅,中楼层/共7层,南 北,平层/简装,1999年建,板楼,朝阳  定福庄 五至六环 近八通线传媒大学站,无,满两年,商品房,2室1厅1厨1卫
123.66平米,499万,3室1厅,高楼层/共28层,东北,平层/简装,2005年建,塔楼,丰台  岳各庄 四至五环 近14号线西段大井站,有,满五年,一类经济适用房,3室1厅1厨1卫
160.93平米,870万,3室2厅,联排/共3层,南 北,复式/精装,2003年建,板楼,大兴  黄村北 五至六环,自供暖,满五年,商品房,3室2厅1厨2卫
137.04平米,1338万,3室2厅,底层/共6层,南 北,平层/精装,2005年建,板楼,海淀  四季青 三至四环 近6号线慈寿寺站,有,满五年,商品房,3室2厅1厨2卫
53.25平米,540万,2室1厅,顶层/共6层,西南,平层/毛坯,1986年建,板楼,西城  天宁寺 二至三环 近7号线达官营站,无,满五年,已购公房,2室1厅1厨1卫
58.36平米,615万,2室1厅,低楼层/共6层,南 北,平层/精装,1991年建,板楼,西城  长椿街 二环内 近7号线广安门内站,无,满两年,商品房,2室1厅1厨1卫
111.69平米,918万,2室1厅,中楼层/共9层,南 北,平层/简装,2002年建,板楼,朝阳  华威桥 三至四环,有,满五年,商品房,2室1厅1厨2卫
66.15平米,334万,2室1厅,中楼层/共6层,东 西,平层/精装,1995年建,板楼,朝阳  管庄 五至六环,无,满五年,已购公房,2室1厅1厨1卫
122.51平米,439万,3室1厅,低楼层/共10层,南 北,平层/精装,2012年建,板楼,房山  长阳 五至六环,有,满五年,商品房,3室1厅1厨2卫
125.05平米,539万,3室2厅,中楼层/共6层,南 北,平层/精装,2006年建,板楼,昌平  回龙观 五至六环 近8号线回龙观东大街站,无,满五年,商品房,3室2厅1厨2卫
97.1平米,540万,2室1厅,中楼层/共23层,西南,平层/简装,2005年建,塔楼,朝阳  高碑店 四至五环,有,满五年,商品房,2室1厅1厨1卫
144.29平米,499万,3室2厅,低楼层/共6层,南 西 北,平层/精装,1997年建,板楼,昌平  安宁庄 五至六环,无,满五年,商品房,3室2厅1厨2卫
50.4平米,768万,2室1厅,高楼层/共6层,南,平层/精装,1981年建,板楼,西城  六铺炕 二环内 近2号线鼓楼大街站,无,满五年,已购公房,2室1厅1厨1卫
90平米,745万,3室1厅,中楼层/共6层,南 北,平层/简装,1990年建,板塔结合,海淀  定慧寺 三至四环,无,满五年,已购公房,3室1厅1厨1卫
77.24平米,360万,2室2厅,底层/共6层,南 北,平层/简装,1995年建,板楼,顺义  后沙峪 五至六环,无,满五年,商品房,2室2厅1厨1卫
150.27平米,430万,3室2厅,中楼层/共19层,西北,平层/精装,2003年建,塔楼,昌平  天通苑 五至六环,有,满五年,一类经济适用房,3室2厅1厨2卫
66.23平米,658万,3室1厅,中楼层/共18层,东 北,平层/精装,1988年建,塔楼,东城  安定门 二至三环 近2号线安定门站,有,满五年,已购公房,3室1厅1厨1卫
44.9平米,402万,2室1厅,高楼层/共6层,南,平层/简装,1985年建,板楼,海淀  五道口 四至五环 近13号线五道口站,无,满五年,已购公房,2室1厅1厨1卫
70.81平米,299万,2室1厅,低楼层/共6层,南 北,平层/简装,2005年建,板楼,大兴  旧宫 四至五环,无,满两年,二类经济适用房,2室1厅1厨1卫
68.37平米,358万,2室1厅,中楼层/共6层,南 北,平层/简装,1996年建,板楼,丰台  木樨园 三至四环,无,满五年,已购公房,2室1厅1厨1卫
79.35平米,518万,2室1厅,中楼层/共12层,南 北,复式/精装,2004年建,塔楼,朝阳  建国门外 二至三环,有,满五年,商品房,2室1厅1厨1卫
62.23平米,423万,2室1厅,低楼层/共6层,南 北,平层/简装,1980年建,板楼,朝阳  团结湖 三至四环 近6号线呼家楼站,无,满两年,商品房,2室1厅1厨1卫
122.3平米,835万,3室1厅,低楼层/共22层,南,平层/精装,1999年建,塔楼,朝阳  惠新西街 三至四环 近5号线和平西桥站,有,满五年,商品房,3室1厅1厨2卫
98.42平米,558万,2室2厅,高楼层/共23层,南 北,平层/精装,2008年建,塔楼,朝阳  北苑 五至六环,有,满五年,商品房,2室2厅1厨1卫
193.66平米,1250万,3室1厅,高楼层/共32层,南 西南,平层/精装,2000年建,塔楼,朝阳  健翔桥 三至四环 近8号线奥体中心站,有,满两年,商品房,3室1厅1厨2卫
74.81平米,478万,3室1厅,中楼层/共6层,西南,平层/简装,1996年建,板楼,海淀  安宁庄 五至六环,无,满五年,商品房,3室1厅1厨1卫
94.58平米,650万,3室1厅,中楼层/共15层,南 北,平层/精装,2011年建,板楼,丰台  青塔 四至五环 近14号线西段郭庄子站,有,满两年,商品房,3室1厅1厨1卫
87.97平米,285万,2室2厅,高楼层/共6层,南 北,平层/精装,1996年建,板楼,通州  潞苑 五至六环,无,满五年,商品房,2室2厅1厨1卫
82.13平米,530万,2室2厅,低楼层/共6层,南 北,平层/精装,1998年建,板楼,朝阳  望京 四至五环,无,满两年,商品房,2室2厅1厨1卫
91.2平米,470万,2室2厅,顶层/共28层,南,平层/精装,2008年建,板塔结合,朝阳  常营 ,有,满两年,商品房,2室2厅1厨1卫
68.85平米,450万,2室1厅,中楼层/共6层,南 北,平层/精装,2000年建,板楼,丰台  马家堡 三至四环 近4号线大兴线公益西桥站,无,满五年,商品房,2室1厅1厨1卫
56.69平米,272万,1室1厅,低楼层/共18层,西,平层/简装,1998年建,塔楼,丰台  角门 三至四环 近10号线角门东站,有,满五年,已购公房,1室1厅1厨1卫
86.14平米,488万,2室1厅,低楼层/共28层,西南,平层/简装,1999年建,塔楼,朝阳  石佛营 四至五环 近6号线十里堡站,有,满五年,商品房,2室1厅1厨1卫
119.9平米,760万,3室1厅,低楼层/共22层,西南,平层/精装,2005年建,板塔结合,朝阳  朝青 四至五环 近6号线青年路站,有,满五年,商品房,3室1厅1厨1卫
72.33平米,340万,2室1厅,中楼层/共28层,西南,平层/简装,2012年建,塔楼,朝阳  潘家园 二至三环 近10号线十里河站,有,满五年,二类经济适用房,2室1厅1厨1卫
86.57平米,560万,3室1厅,高楼层/共15层,南,平层/毛坯,1996年建,板楼,朝阳  南沙滩 四至五环 近15号线北沙滩站,有,满两年,商品房,3室1厅1厨1卫
97.59平米,425万,2室1厅,高楼层/共6层,南 北,平层/精装,2008年建,板楼,昌平  回龙观 五至六环 近8号线育知路站,无,满五年,商品房,2室1厅1厨1卫
146.83平米,445万,3室2厅,低楼层/共18层,东 西,平层/精装,2003年建,板楼,昌平  天通苑 五至六环 近5号线天通苑站,有,满五年,商品房,3室2厅1厨2卫
89.58平米,335万,3室1厅,高楼层/共15层,南 北,平层/精装,2012年建,板楼,房山  长阳 五至六环 近房山线长阳站,有,满五年,商品房,3室1厅1厨1卫
91.19平米,620万,3室1厅,低楼层/共6层,南 北,平层/简装,2011年建,板楼,朝阳  东坝 五至六环,有,满五年,商品房,3室1厅1厨1卫
142.98平米,1200万,3室2厅,中楼层/共14层,南 北,平层/精装,2005年建,板楼,朝阳  望京 四至五环,有,满五年,商品房,3室2厅1厨2卫
57.86平米,365万,1室1厅,高楼层/共27层,东 西北,平层/精装,2007年建,板塔结合,朝阳  朝青 四至五环,有,满五年,商品房,1室1厅1厨1卫
57.9平米,230万,2室1厅,顶层/共6层,西 南 北,平层/简装,1992年建,板楼,通州  乔庄 五至六环,无,满五年,已购公房,2室1厅1厨1卫
58.16平米,432万,2室1厅,顶层/共6层,南 北,平层/毛坯,1980年建,板楼,东城  左安门 二环内 近5号线天坛东门站,无,满五年,已购公房,2室1厅1厨1卫
126.45平米,998万,3室1厅,底层/共13层,南 北,平层/精装,2004年建,板塔结合,朝阳  奥林匹克公园 四至五环 近8号线林萃桥站,有,满五年,商品房,3室1厅1厨2卫
128.61平米,405万,3室2厅,顶层/共6层,南 北,平层/简装,2008年建,板楼,昌平  回龙观 五至六环,无,满五年,一类经济适用房,3室2厅1厨2卫
91.48平米,328万,2室2厅,中楼层/共15层,南,平层/简装,2010年建,板塔结合,顺义  马坡 六环外,有,满五年,商品房,2室2厅1厨1卫
78.31平米,370万,2室2厅,高楼层/共28层,南,平层/简装,未知年建,板塔结合,朝阳  东坝 五至六环,有,满五年,限价商品房,2室2厅1厨1卫
67.34平米,485万,2室1厅,高楼层/共6层,南 北,平层/毛坯,1998年建,板楼,朝阳  南沙滩 四至五环 近15号线北沙滩站,无,满五年,已购公房,2室1厅1厨1卫
88.1平米,442万,3室1厅,高楼层/共28层,南 西 北,平层/精装,2013年建,板塔结合,朝阳  东坝 五至六环,有,满五年,限价商品房,3室1厅1厨1卫
143.29平米,460万,3室2厅,高楼层/共6层,南 北,复式/精装,2000年建,板楼,昌平  回龙观 五至六环 近8号线育知路站,无,满五年,商品房,3室2厅1厨2卫
139.54平米,895万,3室1厅,中楼层/共26层,南 北,平层/精装,2006年建,板塔结合,石景山  鲁谷 四至五环 近1号线八宝山站,有,满两年,商品房,3室1厅1厨2卫
70.25平米,345万,2室1厅,中楼层/共6层,南 北,平层/简装,1996年建,板楼,昌平  立水桥 五至六环,无,满五年,商品房,2室1厅1厨1卫
140.43平米,540万,3室1厅,高楼层/共8层,南 北,平层/精装,2013年建,板楼,昌平  北七家 五至六环,有,满两年,商品房,3室1厅1厨2卫
106平米,600万,2室1厅,中楼层/共27层,南,平层/精装,1997年建,塔楼,朝阳  望京 四至五环 近15号线望京站,有,满五年,商品房,2室1厅1厨1卫
122.67平米,756万,2室2厅,中楼层/共12层,南 北,平层/精装,2008年建,板楼,海淀  田村 四至五环 近6号线廖公庄站,有,满五年,商品房,2室2厅1厨2卫
93.45平米,820万,3室1厅,顶层/共18层,东南,平层/精装,1996年建,塔楼,西城  马连道 二至三环 近7号线达官营站,有,满五年,央产房,3室1厅1厨1卫
92.55平米,635万,2室2厅,中楼层/共11层,南,平层/精装,2010年建,板塔结合,丰台  大红门 三至四环,有,满五年,商品房,2室2厅1厨1卫
169.75平米,1190万,4室2厅,高楼层/共27层,南 北,平层/精装,2012年建,板塔结合,朝阳  北苑 五至六环,有,满五年,商品房,4室2厅1厨2卫
60.7平米,430万,2室1厅,低楼层/共18层,南,平层/精装,1986年建,塔楼,海淀  五棵松 四至五环 近1号线五棵松站,有,满五年,央产房,2室1厅1厨1卫
40.68平米,258万,2室1厅,中楼层/共16层,东 西,复式/简装,2012年建,板塔结合,大兴  枣园 五至六环,有,满五年,商品房,2室1厅2厨2卫
58.31平米,415万,2室1厅,中楼层/共6层,南 北,平层/简装,1990年建,板楼,朝阳  和平里 二至三环 近13号线柳芳站,无,满两年,已购公房,2室1厅1厨1卫
83.2平米,383万,2室1厅,顶层/共6层,北 南,复式/精装,2007年建,板楼,通州  梨园 五至六环,无,满五年,商品房,2室1厅1厨2卫
116.59平米,875万,2室1厅,中楼层/共28层,南,复式/精装,2005年建,板楼,朝阳  三元桥 三至四环 近10号线太阳宫站,有,满五年,商品房,2室1厅1厨2卫
97.31平米,510万,2室1厅,中楼层/共11层,南 北,平层/简装,2006年建,板楼,丰台  宋家庄 三至四环,有,满五年,二类经济适用房,2室1厅1厨1卫
87.26平米,830万,3室1厅,低楼层/共18层,东南,平层/简装,1990年建,塔楼,海淀  二里庄 四至五环 近15号线北沙滩站,有,满五年,央产房,3室1厅1厨1卫
122.16平米,420万,3室2厅,中楼层/共6层,南 北,平层/精装,1998年建,板楼,通州  潞苑 五至六环,无,满五年,私产,3室2厅1厨2卫
115.78平米,618万,3室1厅,低楼层/共24层,东,平层/精装,2002年建,塔楼,丰台  草桥 三至四环 近4号线大兴线马家堡站,有,满五年,商品房,3室1厅1厨1卫
129.15平米,630万,3室2厅,中楼层/共8层,南 北,平层/精装,2012年建,板楼,大兴  亦庄 五至六环,有,满五年,商品房,3室2厅1厨2卫
81.49平米,441万,2室1厅,低楼层/共21层,西南,平层/简装,2006年建,塔楼,丰台  宋家庄 三至四环 近5号线宋家庄站,有,满五年,商品房,2室1厅1厨1卫
138.95平米,735万,2室2厅,低楼层/共32层,东南,平层/简装,2008年建,塔楼,朝阳  奥林匹克公园 五至六环 近5号线立水桥南站,有,满五年,商品房,2室2厅1厨2卫
